Webpage,Preprocessed_Text,Preprocessed_Document
Content,['content'],['content']
Cheap,['cheap'],['cheap']
Flights:,['flights'],['flight']
Flights,['flights'],['flight']
"Tickets,",['tickets'],['ticket']
Airline,['airline'],['airlin']
"Tickets,",['tickets'],['ticket']
Search,['search'],['search']
Flights,['flights'],['flight']
Fly.com,['fly.com'],['flycom']
us,['us'],['us']
Toggle,['toggle'],['toggl']
navigation,['navigation'],['navig']
"Hi,",['hi'],['hi']
"*Hello,",['hello'],['hello']
Signout,['signout'],['signout']
Sign,['sign'],['sign']
"InHello,",['inhello'],['inhello']
Flights,['flights'],['flight']
Today's,"['today', ""'s""]",['today']
Best,['best'],['best']
Fares,['fares'],['fare']
Fare,['fare'],['fare']
Calendars,['calendars'],['calendar']
Flight,['flight'],['flight']
Destinations,['destinations'],['destin']
Airlines,['airlines'],['airlin']
Flight,['flight'],['flight']
Deals,['deals'],['deal']
Travel,['travel'],['travel']
Blog,['blog'],['blog']
Hotels,['hotels'],['hotel']
Car,['car'],['car']
Rentals,['rentals'],['rental']
Budget,['budget'],['budget']
Flights,['flights'],['flight']
Flights,['flights'],['flight']
Today's,"['today', ""'s""]",['today']
Best,['best'],['best']
Fares,['fares'],['fare']
Fare,['fare'],['fare']
Calendars,['calendars'],['calendar']
Deals,['deals'],['deal']
Hotels,['hotels'],['hotel']
Car,['car'],['car']
Rentals,['rentals'],['rental']
Travel,['travel'],['travel']
Blog,['blog'],['blog']
Sign,['sign'],['sign']
Sign,['sign'],['sign']
Call,['call'],['call']
exclusive,['exclusive'],['exclus']
fares!,['fares'],['fare']
Alert,['alert'],['alert']
Due,['due'],['due']
experiencing,['experiencing'],['experienc']
long,['long'],['long']
call,['call'],['call']
wait,['wait'],['wait']
times.,['times'],['time']
updates,['updates'],['updat']
travel,['travel'],['travel']
restrictions,['restrictions'],['restrict']
click,['click'],['click']
Corona,['corona'],['corona']
virus,['virus'],['viru']
Disease,['disease'],['diseas']
information,['information'],['inform']
travel,['travel'],['travel']
click,['click'],['click']
Search,['search'],['search']
Flights,['flights'],['flight']
Roundtrip,['roundtrip'],['roundtrip']
Oneway,['oneway'],['oneway']
DEPART,['depart'],['depart']
January,['january'],['januari']
RETURN,['return'],['return']
February,['february'],['februari']
TRAVELERS,['travelers'],['travel']
Travelers,['travelers'],['travel']
Adults,['adults'],['adult']
Children,['children'],['children']
Seat,['seat'],['seat']
Infant,['infant'],['infant']
Close,['close'],['close']
Sign,['sign'],['sign']
Fly,['fly'],['fli']
"Club™,",['club™'],['club']
exclusive,['exclusive'],['exclus']
membership,['membership'],['membership']
savings.,['savings'],['save']
Alert,['alert'],['alert']
message,['message'],['messag']
Search,['search'],['search']
Flights,['flights'],['flight']
Fly.com,['fly.com'],['flycom']
found,['found'],['found']
best,['best'],['best']
"bargain...""","['bargain', '...', ""''""]",['bargain']
Find,['find'],['find']
Cheap,['cheap'],['cheap']
Flights,['flights'],['flight']
Compare,['compare'],['compar']
prices,['prices'],['price']
airlines,['airlines'],['airlin']
travel,['travel'],['travel']
"sites,",['sites'],['site']
including,['including'],['includ']
"Expedia,",['expedia'],['expedia']
"Orbitz,",['orbitz'],['orbitz']
"Travelocity,",['travelocity'],['traveloc']
Priceline,['priceline'],['pricelin']
Today's,"['today', ""'s""]",['today']
Best,['best'],['best']
Fares,['fares'],['fare']
Major,['major'],['major']
City:,['city'],['citi']
See,['see'],['see']
Today's,"['today', ""'s""]",['today']
Best,['best'],['best']
Fares,['fares'],['fare']
*Fares,['fares'],['fare']
"roundtrip,",['roundtrip'],['roundtrip']
incl.,['incl'],['incl']
tax.,['tax'],['tax']
Baggage,['baggage'],['baggag']
fees,['fees'],['fee']
may,['may'],['may']
apply.,['apply'],['appli']
Daily,['daily'],['daili']
Flight,['flight'],['flight']
Deals,['deals'],['deal']
Find,['find'],['find']
Best,['best'],['best']
Cheap,['cheap'],['cheap']
Flights,['flights'],['flight']
Compare,['compare'],['compar']
prices,['prices'],['price']
airlines,['airlines'],['airlin']
travel,['travel'],['travel']
"sites,",['sites'],['site']
including,['including'],['includ']
"Expedia,",['expedia'],['expedia']
"Orbitz,",['orbitz'],['orbitz']
"Travelocity,",['travelocity'],['traveloc']
Priceline,['priceline'],['pricelin']
more.Fly.com,['more.fly.com'],['moreflycom']
one,['one'],['one']
stop,['stop'],['stop']
shop,['shop'],['shop']
find,['find'],['find']
discount,['discount'],['discount']
"flights,",['flights'],['flight']
airline,['airline'],['airlin']
tickets,['tickets'],['ticket']
hotels.,['hotels'],['hotel']
want,['want'],['want']
cheap,['cheap'],['cheap']
airfare,['airfare'],['airfar']
business,['business'],['busi']
travel,['travel'],['travel']
vacation,['vacation'],['vacat']
favorite,['favorite'],['favorit']
destination,['destination'],['destin']
Fly.com,['fly.com'],['flycom']
best,['best'],['best']
deals.,['deals'],['deal']
Join,['join'],['join']
millions,['millions'],['million']
use,['use'],['use']
Fly.com,['fly.com'],['flycom']
find,['find'],['find']
cheap,['cheap'],['cheap']
plane,['plane'],['plane']
tickets,['tickets'],['ticket']
cheap,['cheap'],['cheap']
hotels.,['hotels'],['hotel']
"Search,",['search'],['search']
Compare,['compare'],['compar']
Book,['book'],['book']
"Flights,Hotels","['flights', 'hotels']",['flightshotel']
Car,['car'],['car']
Rentals,['rentals'],['rental']
Fly.com,['fly.com'],['flycom']
like,['like'],['like']
thank,['thank'],['thank']
partners,['partners'],['partner']
making,['making'],['make']
Fly.com,['fly.com'],['flycom']
possible,['possible'],['possibl']
"Orbitz,",['orbitz'],['orbitz']
"Expedia,",['expedia'],['expedia']
"Travelocity,",['travelocity'],['traveloc']
"Priceline,",['priceline'],['pricelin']
"JustFly,",['justfly'],['justfli']
"HotWire,",['hotwire'],['hotwir']
"Kayak,",['kayak'],['kayak']
American,['american'],['american']
"Airlines,",['airlines'],['airlin']
Jet,['jet'],['jet']
"Blue,",['blue'],['blue']
South,['south'],['south']
"West,",['west'],['west']
United,['united'],['unit']
"Airlines,",['airlines'],['airlin']
"Kiwi,",['kiwi'],['kiwi']
Flight,['flight'],['flight']
"Network,",['network'],['network']
CheapOair,['cheapoair'],['cheapoair']
many,['many'],['mani']
others.,['others'],['other']
Read,['read'],['read']
countless,['countless'],['countless']
expenses,['expenses'],['expens']
trip,['trip'],['trip']
flight,['flight'],['flight']
"tickets,",['tickets'],['ticket']
"accommodation,",['accommodation'],['accommod']
commute,['commute'],['commut']
holding,['holding'],['hold']
back,['back'],['back']
taking,['taking'],['take']
much-needed,['much-needed'],['muchneed']
"break,",['break'],['break']
Fly,['fly'],['fli']
banish,['banish'],['banish']
worries,['worries'],['worri']
good!,['good'],['good']
Here’s,['’'],['here']
works:,['works'],['work']
compare,['compare'],['compar']
flights,['flights'],['flight']
prices,['prices'],['price']
hundreds,['hundreds'],['hundr']
airline,['airline'],['airlin']
travel,['travel'],['travel']
sites,['sites'],['site']
give,['give'],['give']
"best,",['best'],['best']
cheap,['cheap'],['cheap']
airfare,['airfare'],['airfar']
options.,['options'],['option']
Planning,['planning'],['plan']
trip,['trip'],['trip']
gets,['gets'],['get']
even,['even'],['even']
easier,['easier'],['easier']
